company_name,stock_code,matched_keyword,source_section,start_position,end_position,candidate_text_path,status,error_message
铜冠矿建,920019,认购,,39038,39991,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE015_920019_candidates.txt,success,
铜冠矿建,920019,股份锁定,,71210,72156,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE015_920019_candidates.txt,success,
铜冠矿建,920019,股份锁定,,72156,73175,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE015_920019_candidates.txt,success,
铜冠矿建,920019,股份锁定,,89079,89920,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE015_920019_candidates.txt,success,
科力股份,920088,股权转让,,176383,177666,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科力股份,920088,股权转让,,183670,184756,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科力股份,920088,股东情况,,34514,35392,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科力股份,920088,股份锁定,,1500,2462,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科力股份,920088,认购,,29907,30054,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科力股份,920088,认购,,30961,31913,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科力股份,920088,认购,,35392,36582,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科力股份,920088,股份锁定,,49385,50807,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,success,
科拜尔,920066,外部投资者、特殊投资条款、增资、认购,,35023,36292,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
科拜尔,920066,历史沿革、增资,,143666,144698,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
科拜尔,920066,股权转让、增资,,144698,145770,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
科拜尔,920066,股东情况、私募基金、创业投资,,30072,31097,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
科拜尔,920066,股权转让,,36292,37348,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
科拜尔,920066,股权转让,,121860,122703,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
科拜尔,920066,股权转让,,125837,126962,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
科拜尔,920066,股权转让,,145770,146790,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,success,
聚星科技,920111,股东情况,,28791,29722,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
聚星科技,920111,认购,,21896,22482,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
聚星科技,920111,认购,,23349,24128,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
聚星科技,920111,股份锁定,,39041,40176,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
聚星科技,920111,股份锁定,,41251,42510,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
聚星科技,920111,股份锁定,,43510,44525,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
聚星科技,920111,股份锁定,,44525,45434,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
聚星科技,920111,股份锁定,,45434,46464,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,success,
万源通,920060,股东情况,,35781,36957,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
万源通,920060,增资、认购,,36957,37965,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
万源通,920060,认购,,28882,29870,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
万源通,920060,增资,,30707,31679,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
万源通,920060,股份锁定,,49855,50962,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
万源通,920060,股份锁定,,59071,60199,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
万源通,920060,股份锁定,,60199,61330,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
万源通,920060,股份锁定,,61330,62411,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,success,
XD胜业电,920128,股东情况、增资、认购,,31441,32639,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
XD胜业电,920128,股权转让,,176631,177523,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
XD胜业电,920128,股东情况,,42623,43713,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
XD胜业电,920128,认购,,28909,29864,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
XD胜业电,920128,私募基金,,47292,48753,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
XD胜业电,920128,私募基金,,53601,54593,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
XD胜业电,920128,股份锁定,,55665,57075,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
XD胜业电,920128,股份锁定,,57075,58440,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,success,
科隆新材,920098,股权转让、特殊投资条款、增资,,44438,45798,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
科隆新材,920098,股权转让、增资、认购,,41100,42223,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
科隆新材,920098,股权转让,,46890,47881,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
科隆新材,920098,股东情况、认购,,38795,39922,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
科隆新材,920098,特殊投资条款、认购,,43304,44438,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
科隆新材,920098,特殊投资条款、增资,,45798,46890,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
科隆新材,920098,创业投资,,10924,12203,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
科隆新材,920098,创业投资,,36610,37693,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE021_920098_candidates.txt,success,
林泰新材,920106,股权转让、股本形成、历史沿革、特殊投资条款,,34434,35471,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
林泰新材,920106,股东情况、创业投资,,33612,34434,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
林泰新材,920106,股东情况、创业投资,,35471,36548,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
林泰新材,920106,创业投资,,5070,6189,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
林泰新材,920106,认购,,13292,14554,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
林泰新材,920106,认购,,23343,24259,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
林泰新材,920106,创业投资,,24781,25917,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
林泰新材,920106,创业投资,,25917,26923,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE022_920106_candidates.txt,success,
方正阀门,920082,股权转让,,49051,50189,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
方正阀门,920082,股权转让,,143861,144964,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
方正阀门,920082,股权转让,,155827,156922,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
方正阀门,920082,股东情况,,29747,30645,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
方正阀门,920082,股东情况,,33775,34853,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
方正阀门,920082,股东情况,,149092,149845,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
方正阀门,920082,认购,,14462,16065,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
方正阀门,920082,认购,,28851,29747,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE023_920082_candidates.txt,success,
迅安科技,920950,投资协议、认购,,5044,5736,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
迅安科技,920950,投资协议,,27109,27896,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
迅安科技,920950,股东情况,,33836,34523,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
